Rank,Release Group,Worldwide,Domestic,Foreign,filename,year,Domestic %,Foreign %
2106,Rugrats Go Wild,55250496,39402572,15847924,2003.csv,2003,0.7131623216558997,0.2868376783441003
2107,Extremely Loud & Incredibly Close,55247881,31847881,23400000,2011.csv,2011,0.5764543440136646,0.4235456559863355
2108,The Ant Bully,55181129,28142535,27038594,2006.csv,2006,0.5100028852254908,0.48999711477450925
2109,The Mothman Prophecies,55157539,35746370,19411169,2002.csv,2002,0.6480776816384066,0.3519223183615933
2110,End of Watch,55078146,41003371,14074775,2012.csv,2012,0.744458083247755,0.2555419167522451
2111,Hellboy,55064690,21903748,33160942,2019.csv,2019,0.39778209956325916,0.6022179004367408
2112,Wolf Children,55045228,0,55045228,2012.csv,2012,0.0,1.0
2113,We Own the Night,55033767,28563179,26470588,2007.csv,2007,0.5190118822867422,0.4809881177132578
2114,Barbershop: The Next Cut,55030051,54030051,1000000,2016.csv,2016,0.9818281106081476,0.018171889391852464
2115,Veda - Atatürk,55024621,0,55024621,2010.csv,2010,0.0,1.0
2116,The Messengers,55010659,35374833,19635826,2007.csv,2007,0.6430541579223764,0.35694584207762353
2117,Downsizing,55003890,24449754,30554136,2017.csv,2017,0.44450954287051336,0.5554904571294866
2118,Analyze That,55003135,32130627,22872508,2002.csv,2002,0.5841599210663174,0.4158400789336826
2119,Suspect X,54846110,0,54846110,2008.csv,2008,0.0,1.0
2120,St. Vincent,54837234,44137712,10699522,2014.csv,2014,0.8048858190039272,0.19511418099607286
2121,The Three Stooges,54819301,44338224,10481077,2012.csv,2012,0.8088068105793614,0.19119318942063854
2122,The Crazies,54806823,39123589,15683234,2010.csv,2010,0.7138452268981181,0.28615477310188187
2123,Driven,54744738,32720065,22024673,2001.csv,2001,0.5976842011738187,0.40231579882618124
2124,The Punisher,54700105,33810189,20889916,2004.csv,2004,0.6181009890200394,0.38189901097996065
2125,Open Water,54683487,30610863,24072624,2004.csv,2004,0.5597825720221536,0.4402174279778464
2126,Go Brother!,54663060,0,54663060,2018.csv,2018,0.0,1.0
2127,"Good Night, and Good Luck.",54641191,31558003,23083188,2005.csv,2005,0.5775496914040545,0.4224503085959455
2128,The Hot Chick,54639553,35081594,19557959,2002.csv,2002,0.6420549231067099,0.3579450768932901
2129,Early Man,54622814,8267544,46355270,2018.csv,2018,0.15135697695838227,0.8486430230416178
2130,Milk,54589558,31841299,22748259,2008.csv,2008,0.5832855250449179,0.41671447495508207
2131,The Age of Shadows,54491162,541719,53949443,2016.csv,2016,0.009941410315309481,0.9900585896846905
2132,No Escape,54418872,27288872,27130000,2015.csv,2015,0.5014597141962075,0.4985402858037925
2133,No Good Deed,54323210,52543632,1779578,2014.csv,2014,0.9672409270365282,0.03275907296347178
2134,Upcoming,54300000,0,54300000,2021.csv,2021,0.0,1.0
2135,Domestic Disturbance,54249294,45246095,9003199,2001.csv,2001,0.8340402549754841,0.1659597450245159
2136,The Five-Year Engagement,54169363,28835528,25333835,2012.csv,2012,0.5323217110749484,0.4676782889250516
2137,Madea's Big Happy Family,54161287,53345287,816000,2011.csv,2011,0.9849338882955274,0.015066111704472605
2138,Nine,54004950,19676965,34327985,2009.csv,2009,0.36435484154693226,0.6356451584530677
2139,A Ghost of a Chance,53982636,0,53982636,2011.csv,2011,0.0,1.0
2140,"I, Tonya",53939297,30014539,23924758,2017.csv,2017,0.5564503185868366,0.4435496814131634
2141,Peppermint,53918723,35418723,18500000,2018.csv,2018,0.6568909838610235,0.34310901613897643
2142,Long Shot,53873809,30316271,23557538,2019.csv,2019,0.5627274470234692,0.4372725529765308
2143,1987: When the Day Comes,53834292,0,53834292,2017.csv,2017,0.0,1.0
2144,Stranger Than Fiction,53653224,40660952,12992272,2006.csv,2006,0.7578473196689913,0.24215268033100862
2145,Overheard 3,53493428,0,53493428,2014.csv,2014,0.0,1.0
2146,The Cat Returns,53452652,0,53452652,2002.csv,2002,0.0,1.0
2147,Bounce,53425292,36805288,16620004,2000.csv,2000,0.6889113118932508,0.31108868810674917
2148,Supercondriaque,53425036,0,53425036,2014.csv,2014,0.0,1.0
2149,A Madea Christmas,53396635,52543354,853281,2013.csv,2013,0.9840199480735069,0.01598005192649312
2150,Sinister 2,53329150,27740955,25588195,2015.csv,2015,0.5201837081596088,0.4798162918403912
2151,Æon Flux,53321673,25874337,27447336,2005.csv,2005,0.48524990954428604,0.514750090455714
2152,Little White Lies,53319615,206088,53113527,2010.csv,2010,0.003865144187556493,0.9961348558124435
2153,A Chinese Odyssey: Part Three,53306108,0,53306108,2016.csv,2016,0.0,1.0
2154,Radio,53293628,52333738,959890,2003.csv,2003,0.9819886535028165,0.01801134649718349
2155,3 Days to Kill,53260230,30697999,22562231,2014.csv,2014,0.5763775147046868,0.4236224852953132
2156,Pitch Black,53187659,39240659,13947000,2000.csv,2000,0.7377775171492319,0.26222248285076805
2157,Temptation: Confessions of a Marriage Counselor,53143144,51975354,1167790,2013.csv,2013,0.9780255756038823,0.021974424396117777
2158,Delivery Man,53120346,30664106,22456240,2013.csv,2013,0.5772572716299702,0.4227427283700298
2159,Big Fat Liar,52970014,48360547,4609467,2002.csv,2002,0.91297969073597,0.08702030926403002
2160,The Outlaws,52946454,0,52946454,2017.csv,2017,0.0,1.0
2161,Man in Love,52946097,0,52946097,2021.csv,2021,0.0,1.0
2162,Untraceable,52933513,28687835,24245678,2008.csv,2008,0.5419597788644785,0.45804022113552145
2163,Detective Conan: Sunflowers of Inferno,52920296,0,52920296,2015.csv,2015,0.0,1.0
2164,Pooh's Heffalump Movie,52858433,18098433,34760000,2005.csv,2005,0.34239442928624086,0.6576055707137591
2165,From Paris with Love,52830951,24077427,28753524,2010.csv,2010,0.4557447205521627,0.5442552794478374
2166,Prem Ratan Dhan Payo,52715771,4364639,48351132,2015.csv,2015,0.08279569694617575,0.9172043030538243
2167,Break Through the Darkness,52700000,0,52700000,2021.csv,2021,0.0,1.0
2168,Rurouni Kenshin Part II: Kyoto Inferno,52696176,0,52696176,2014.csv,2014,0.0,1.0
2169,Wild,52501541,37880356,14621185,2014.csv,2014,0.7215094124570554,0.2784905875429447
2170,Tunnel,52444295,568876,51875419,2016.csv,2016,0.010847242774452398,0.9891527572255476
2171,The Boy Next Door,52425855,35423380,17002475,2015.csv,2015,0.6756853083273511,0.3243146916726489
2172,The Night Before,52395996,43047372,9348624,2015.csv,2015,0.8215775113808315,0.17842248861916854
2173,Arthur et la vengeance de Maltazard,52377611,0,52377611,2009.csv,2009,0.0,1.0
2174,Dragonfly,52323400,30323400,22000000,2002.csv,2002,0.5795380269630797,0.4204619730369204
2175,Greenland,52300000,0,52300000,2020.csv,2020,0.0,1.0
2176,Hollywood Adventures,52265070,0,52265070,2015.csv,2015,0.0,1.0
2177,One Hour Photo,52223306,31597131,20626175,2002.csv,2002,0.6050388881929459,0.3949611118070541
2178,Tolo Tolo,52186426,0,52186426,2020.csv,2020,0.0,1.0
2179,Patriots Day,52185751,31886361,20299390,2016.csv,2016,0.6110166163940038,0.3889833836059962
2180,My Beloved Bodyguard,52165873,0,52165873,2016.csv,2016,0.0,1.0
2181,Elizabethtown,52164016,26850426,25313590,2005.csv,2005,0.51473080600236,0.48526919399764007
2182,Take Off,52141043,0,52141043,2009.csv,2009,0.0,1.0
2183,The Finest Hours,52099090,27569558,24529532,2016.csv,2016,0.5291754232175648,0.47082457678243517
2184,Teen Titans GO! To the Movies,52090236,29790236,22300000,2018.csv,2018,0.5718967370391641,0.4281032629608359
2185,Escape Room: Tournament of Champions,51914753,25314753,26600000,2021.csv,2021,0.4876215629880778,0.5123784370119222
2186,Detective Dee: The Mystery of the Phantom Flame,51899269,459836,51439433,2010.csv,2010,0.008860163329082727,0.9911398366709173
2187,Conference of Animals,51883642,0,51883642,2010.csv,2010,0.0,1.0
2188,Hanging Up,51880044,36050230,15829814,2000.csv,2000,0.6948766273212875,0.3051233726787125
2189,Blue Crush,51843679,40390647,11453032,2002.csv,2002,0.7790852767219703,0.22091472327802972
2190,"Yo-kai Watch Movie: It's the Secret of Birth, Meow!",51838845,257343,51581502,2015.csv,2015,0.004964288845555876,0.9950357111544441
2191,Enough,51806184,40007742,11798442,2002.csv,2002,0.7722580377663022,0.2277419622336978
2192,The Texas Chainsaw Massacre: The Beginning,51764406,39517763,12246643,2006.csv,2006,0.7634157532880799,0.23658424671192016
2193,Slender Man,51738549,30569484,21169065,2018.csv,2018,0.5908454061979975,0.4091545938020025
2194,I Can Do Bad All by Myself,51733921,51733921,0,2009.csv,2009,1.0,0.0
2195,Doubt,51699984,33446470,18253514,2008.csv,2008,0.6469338559176343,0.3530661440823657
2196,Schemes in Antiques,51637422,36501,51600921,2021.csv,2021,0.0007068710750122265,0.9992931289249878
2197,Master,51636415,597251,51039164,2016.csv,2016,0.011566469128424194,0.9884335308715758
2198,College Road Trip,51549674,45610425,5939249,2008.csv,2008,0.8847859057265813,0.11521409427341868
2199,Daybreakers,51416464,30101577,21314887,2010.csv,2010,0.5854462687282423,0.4145537312717576
2200,Breaking In,51411620,46840590,4571030,2018.csv,2018,0.9110895552406246,0.08891044475937541
2201,Cry Me a Sad River,51400614,0,51400614,2018.csv,2018,0.0,1.0
2202,I Spy,51386477,33561137,17825340,2002.csv,2002,0.6531122380699498,0.3468877619300502
2203,Hot Pursuit,51380201,34580201,16800000,2015.csv,2015,0.6730258022929883,0.3269741977070117
2204,Once Upon a Deadpool 2018 Re-release,51349833,6100309,45249524,2018.csv,2018,0.1187990036890675,0.8812009963109325
2205,Meet Dave,51339567,11803254,39536313,2008.csv,2008,0.22990560087894782,0.7700943991210522
2206,Simmba,51329025,5102129,46226896,2018.csv,2018,0.09940046591572702,0.900599534084273
2207,Defiance,51262751,28644813,22617938,2008.csv,2008,0.5587841549900433,0.44121584500995664
2208,The 100 Year-Old Man Who Climbed Out the Window and Disappeared,51167572,944193,50223379,2013.csv,2013,0.018452956884489263,0.9815470431155108
2209,Hollywood Homicide,51142659,30940691,20201968,2003.csv,2003,0.6049879221180111,0.3950120778819889
2210,Doomsday: The Sinking of Japan,51127401,0,51127401,2006.csv,2006,0.0,1.0
2211,Sunny,51116421,0,51116421,2011.csv,2011,0.0,1.0
2212,Magic in the Moonlight,51029361,10539326,40490035,2014.csv,2014,0.20653454782629946,0.7934654521737006
2213,Talk to Her 2002 Re-release,51001550,9285469,41716081,2002.csv,2002,0.1820624863361996,0.8179375136638004
2214,Red Dawn,50950296,44806783,6143513,2012.csv,2012,0.8794214463444923,0.12057855365550771
2215,Doraemon the Movie: Nobita and the Birth of Japan,50939840,0,50939840,2016.csv,2016,0.0,1.0
2216,Just Friends,50912434,32619671,18292763,2005.csv,2005,0.6407014640077903,0.3592985359922097
2217,Unleashed,50871113,24537621,26333492,2005.csv,2005,0.4823488135594753,0.5176511864405247
2218,Vanguard,50866901,793525,50073376,2020.csv,2020,0.015600026429760288,0.9843999735702397
2219,Team America: World Police,50826898,32786074,18040824,2004.csv,2004,0.64505360921298,0.3549463907870199
2220,Coco Before Chanel,50812934,6113834,44699100,2009.csv,2009,0.12032042865306695,0.8796795713469331
2221,The Skulls,50802120,35046120,15756000,2000.csv,2000,0.6898554627247839,0.31014453727521607
2222,What a Girl Wants,50732139,36105433,14626706,2003.csv,2003,0.7116875754046168,0.2883124245953832
2223,Pokémon: Arceus and the Jewel of Life,50673078,0,50673078,2009.csv,2009,0.0,1.0
2224,Sea Monsters: A Prehistoric Adventure,50652463,23746066,26906397,2007.csv,2007,0.46880377761689496,0.531196222383105
2225,Diary of a Mad Black Woman,50652203,50633099,19104,2005.csv,2005,0.9996228397015624,0.0003771602984375625
2226,Fever Pitch,50605163,42071069,8534094,2005.csv,2005,0.8313592231685925,0.1686407768314075
2227,The Jungle Book 2 2003 Re-release,50600160,0,50600160,2003.csv,2003,0.0,1.0
2228,War of the Arrows,50587661,251200,50336461,2011.csv,2011,0.004965637766885486,0.9950343622331145
2229,You Got Served,50576805,40363810,10212995,2004.csv,2004,0.7980695894096118,0.20193041059038822
2230,Kingdom,50574061,0,50574061,2019.csv,2019,0.0,1.0
2231,The Himalayas,50544493,696717,49847776,2015.csv,2015,0.013784231647154914,0.9862157683528451
2232,Alpha and Omega,50507267,25107267,25400000,2010.csv,2010,0.49710207048027366,0.5028979295197263
2233,Dragon Ball Z: Battle of Gods,50461371,2553002,47908369,2013.csv,2013,0.05059319533747904,0.9494068046625209
2234,Kokowääh,50447784,0,50447784,2011.csv,2011,0.0,1.0
2235,About Last Night,50445860,48637684,1808176,2014.csv,2014,0.9641561071612219,0.03584389283877805
2236,Breakthrough,50444358,40713082,9731276,2019.csv,2019,0.8070889117074302,0.1929110882925698
2237,Just Mercy,50401502,36001502,14400000,2019.csv,2019,0.7142942287711981,0.28570577122880186
2238,Red Tails,50365498,49876377,489121,2012.csv,2012,0.9902885701636466,0.009711429836353449
2239,"Monsters, Inc. 2012 3D Release",50207820,34043006,16164814,2012.csv,2012,0.6780419066193274,0.32195809338067255
2240,HOUBA! On the Trail of the Marsupilami,50146474,0,50146474,2012.csv,2012,0.0,1.0
2241,The Closet,50104745,6678894,43425851,2001.csv,2001,0.13329863269436856,0.8667013673056314
2242,National Security,50097949,36381186,13716763,2003.csv,2003,0.7262011065562783,0.2737988934437216
2243,The Replacements,50054511,44737059,5317452,2000.csv,2000,0.8937667775837427,0.10623322241625735
2244,Uncut Gems,50023780,50023780,0,2019.csv,2019,1.0,0.0
2245,The Women,50007546,26902075,23105471,2008.csv,2008,0.5379603110298594,0.46203968897014064
2246,Dearest 2014 Re-release,50000583,0,50000583,2014.csv,2014,0.0,1.0
2247,Family is Family,49954866,0,49954866,2018.csv,2018,0.0,1.0
2248,Drillbit Taylor,49944325,32862104,17082221,2008.csv,2008,0.6579747348672748,0.3420252651327253
2249,21 Bridges,49939757,28539757,21400000,2019.csv,2019,0.5714836978481894,0.42851630215181064
2250,Winnie the Pooh,49871429,26692846,23178583,2011.csv,2011,0.535233229430823,0.464766770569177
2251,The Wailing,49851770,786633,49065137,2016.csv,2016,0.015779439727014708,0.9842205602729853
2252,The Switch,49830607,27779426,22051181,2010.csv,2010,0.5574771746208108,0.44252282537918913
2253,Space Battleship Yamato,49827298,0,49827298,2010.csv,2010,0.0,1.0
2254,Notes on a Scandal,49814392,17510118,32304274,2006.csv,2006,0.35150721100841703,0.648492788991583
2255,An Inconvenient Truth,49782012,24146161,25635851,2006.csv,2006,0.4850378686984367,0.5149621313015633
2256,She's Out of My League,49779728,32010860,17768868,2010.csv,2010,0.6430501187149917,0.3569498812850082
2257,This Christmas,49778552,49121934,656618,2007.csv,2007,0.9868092185566185,0.01319078144338148
2258,Luca,49750471,0,49750471,2021.csv,2021,0.0,1.0
2259,Raising Helen,49718611,37486512,12232099,2004.csv,2004,0.7539734366271817,0.24602656337281828
2260,The Boy and the Beast,49714378,490643,49223735,2015.csv,2015,0.009869237426645467,0.9901307625733545
2261,Two Is a Family,49619118,0,49619118,2016.csv,2016,0.0,1.0
2262,Song of Youth,49615508,0,49615508,2019.csv,2019,0.0,1.0
2263,Surprise,49567466,0,49567466,2015.csv,2015,0.0,1.0
2264,Death Wish,49562710,34017028,15545682,2018.csv,2018,0.6863431801852643,0.3136568198147357
2265,CJ7,49529913,207378,49322535,2008.csv,2008,0.004186924374367466,0.9958130756256325
2266,The Grudge,49511319,21221803,28289516,2019.csv,2019,0.4286252806151256,0.5713747193848744
2267,Tad: The Lost Explorer,49490859,0,49490859,2012.csv,2012,0.0,1.0
2268,The Black Dahlia,49332692,22545080,26787612,2006.csv,2006,0.45700080587534125,0.5429991941246588
2269,Capote,49327405,28750530,20576875,2005.csv,2005,0.5828510540945748,0.4171489459054252
2270,May 18,49282156,0,49282156,2007.csv,2007,0.0,1.0
2271,One Piece: Strong World,49271461,0,49271461,2009.csv,2009,0.0,1.0
2272,Entourage,49263404,32363404,16900000,2015.csv,2015,0.6569461582476112,0.34305384175238884
2273,A Turtle's Tale 2: Sammy's Escape from Paradise,49261830,0,49261830,2012.csv,2012,0.0,1.0
2274,The Hurt Locker,49230772,17017811,32212961,2008.csv,2008,0.3456742664933225,0.6543257335066774
2275,The New Mutants,49169594,23852659,25316935,2020.csv,2020,0.4851099441659006,0.5148900558340994
2276,Death at a Funeral,49050886,42739347,6311539,2010.csv,2010,0.8713267075338863,0.12867329246611367
2277,Little,48987096,40860481,8126615,2019.csv,2019,0.8341070268790786,0.16589297312092147
2278,Whiplash,48982041,13092000,35890041,2014.csv,2014,0.2672816349159481,0.732718365084052
2279,Never Gone,48980792,96421,48884371,2016.csv,2016,0.0019685471806989156,0.9980314528193011
2280,The Berlin File,48972848,665210,48307638,2013.csv,2013,0.013583241064518036,0.986416758935482
2281,Trouble with the Curve,48963137,35763137,13200000,2012.csv,2012,0.7304094302617906,0.2695905697382094
2282,Luck-Key,48913975,466505,48447470,2016.csv,2016,0.00953725392385305,0.9904627460761469
2283,Florence Foster Jenkins,48902953,27383770,21519183,2016.csv,2016,0.559961481262696,0.44003851873730404
2284,Push,48858618,31811527,17047091,2009.csv,2009,0.6510934672773594,0.34890653272264066
2285,The Woman in Black 2: Angel of Death,48854305,26501323,22352982,2015.csv,2015,0.5424562482262311,0.457543751773769
2286,Bleeding Steel,48825526,0,48825526,2017.csv,2017,0.0,1.0
2287,Fantasy Island,48811343,27309289,21502054,2020.csv,2020,0.5594865316449088,0.44051346835509114
2288,Isn't It Romantic,48791187,48791187,0,2019.csv,2019,1.0,0.0
2289,Mother's Day,48782670,32492859,16289811,2016.csv,2016,0.6660738126879894,0.33392618731201057
2290,How Do You Know,48668907,30212620,18456287,2010.csv,2010,0.6207786831950017,0.3792213168049983
2291,Concussion,48623572,34542474,14081098,2015.csv,2015,0.7104059323325732,0.28959406766742685
2292,The Last King of Scotland,48618191,17606684,31011507,2006.csv,2006,0.36214189869795854,0.6378581013020415
2293,Shutter,48555306,25928550,22626756,2008.csv,2008,0.534000341795807,0.465999658204193
2294,Fat Albert,48551322,48116322,435000,2004.csv,2004,0.9910404087452037,0.008959591254796317
2295,Her,48517427,25568251,22949176,2013.csv,2013,0.5269910747740189,0.47300892522598115
2296,The Legend of Hei,48507082,0,48507082,2019.csv,2019,0.0,1.0
2297,Logan Lucky,48453605,27780977,20672628,2017.csv,2017,0.5733521169374292,0.4266478830625709
2298,Homefront,48449416,20158898,28290518,2013.csv,2013,0.4160813414138986,0.5839186585861015
2299,Mr. Brooks,48443734,28549298,19894436,2007.csv,2007,0.5893290141507259,0.41067098584927414
2300,9,48428063,31749894,16678169,2009.csv,2009,0.6556094139053218,0.3443905860946782
2301,Chef,48428048,31424003,17004045,2014.csv,2014,0.6488802315550691,0.3511197684449309
2302,20th Century Boys 3: Redemption,48397818,0,48397818,2009.csv,2009,0.0,1.0
2303,Boo 2! A Madea Halloween,48333932,47319572,1014360,2017.csv,2017,0.979013501322425,0.020986498677575
2304,The Last Stand,48330757,12050299,36280458,2013.csv,2013,0.24932982117370933,0.7506701788262907
2305,Secondhand Lions,48249017,42070939,6178078,2003.csv,2003,0.8719543239606311,0.12804567603936884
2306,Charlie St. Cloud,48190704,31162545,17028159,2010.csv,2010,0.6466505448851713,0.3533494551148288
2307,Arthur,48147945,33035397,15112548,2011.csv,2011,0.6861226787560715,0.3138773212439285
2308,Boyhood,48137666,25352281,22785385,2014.csv,2014,0.5266620321807874,0.4733379678192125
2309,Suite Dreams,48090431,0,48090431,2006.csv,2006,0.0,1.0
2310,21 & Over,48065672,25682380,22383292,2013.csv,2013,0.5343185465086184,0.4656814534913815
2311,Sky Hunter,48065601,0,48065601,2017.csv,2017,0.0,1.0
2312,Heartbreaker,48023509,504030,47519479,2010.csv,2010,0.010495484617752526,0.9895045153822475
2313,Countdown,48021766,25621766,22400000,2019.csv,2019,0.5335448513076341,0.4664551486923659
2314,After We Collided,47990414,2386483,45603931,2020.csv,2020,0.04972832699463689,0.9502716730053631
2315,Death Note: The Last Name,47917637,0,47917637,2006.csv,2006,0.0,1.0
2316,"From Today, It's My Turn: The Movie",47866854,0,47866854,2020.csv,2020,0.0,1.0
2317,Midsommar,47863365,27426361,20437004,2019.csv,2019,0.5730136399728686,0.4269863600271314
2318,Queen & Slim,47860909,43808310,4052599,2019.csv,2019,0.9153254903704399,0.08467450962956011
2319,The Nanny Diaries,47817020,25930652,21886368,2007.csv,2007,0.5422891681664813,0.4577108318335187
2320,Phantom Thread,47756590,21198205,26558385,2017.csv,2017,0.4438802058522185,0.5561197941477815
2321,Book of Shadows: Blair Witch 2,47737094,26437094,21300000,2000.csv,2000,0.5538061030694496,0.4461938969305505
2322,The Fourth Kind,47709193,25486040,22223153,2009.csv,2009,0.5341955794557246,0.4658044205442754
2323,Scott Pilgrim vs. the World,47664559,31524275,16140284,2010.csv,2010,0.6613776705665104,0.3386223294334896
2324,"Yo-kai Watch Movie: It's the Secret of Birth, Meow! 2016 Re-release",47642462,0,47642462,2016.csv,2016,0.0,1.0
2325,Man on a Ledge,47636031,18620000,29016031,2012.csv,2012,0.3908805920459662,0.6091194079540337
2326,Inside Men,47616503,0,47616503,2015.csv,2015,0.0,1.0
2327,The Dead End,47600000,0,47600000,2015.csv,2015,0.0,1.0
2328,Coming Home,47587984,377607,47210377,2014.csv,2014,0.007934923236084135,0.9920650767639159
2329,47 Meters Down: Uncaged,47582563,22260900,25321663,2019.csv,2019,0.46783734621441053,0.5321626537855895
2330,Boonie Bears Winter,47581416,0,47581416,2015.csv,2015,0.0,1.0
2331,A Walk to Remember,47494916,41281092,6213824,2002.csv,2002,0.8691686495455639,0.130831350454436
2332,Darkness Falls,47488536,32551396,14937140,2003.csv,2003,0.685457980848262,0.314542019151738
2333,Beauty and the Beast,47430624,0,47430624,2014.csv,2014,0.0,1.0
2334,The Magic Tuche,47427990,0,47427990,2018.csv,2018,0.0,1.0
2335,Crazy Heart,47405566,39464306,7941260,2009.csv,2009,0.8324825401304142,0.16751745986958577
2336,Nightcrawler,47398992,32381217,15017775,2014.csv,2014,0.683162565988745,0.3168374340112549
2337,Almost Famous,47383689,32534850,14848839,2000.csv,2000,0.6866255179076496,0.31337448209235036
2338,Rough Night,47347283,22105643,25241640,2017.csv,2017,0.466883031070653,0.533116968929347
2339,Texas Chainsaw,47340586,34341945,12998641,2013.csv,2013,0.7254228961170865,0.2745771038829135
2340,Broken Flowers,47329961,13744960,33585001,2005.csv,2005,0.29040716936149596,0.709592830638504
2341,Don't Breathe 2,47312950,32712950,14600000,2021.csv,2021,0.6914164092494761,0.3085835907505239
2342,A Monster Calls,47309313,3740823,43568490,2016.csv,2016,0.07907159843982516,0.9209284015601749
2343,Tiny Times 2.0,47289937,43788,47246149,2013.csv,2013,0.0009259475224084143,0.9990740524775916
2344,Golden Job,47287851,285795,47002056,2018.csv,2018,0.006043729921243407,0.9939562700787566
2345,Mortdecai,47275695,7696134,39579561,2015.csv,2015,0.16279261468287246,0.8372073853171276
2346,The Watcher,47267829,28946615,18321214,2000.csv,2000,0.612395695177792,0.3876043048222079
2347,Deck the Halls,47232776,35093569,12139207,2006.csv,2006,0.7429918791984617,0.25700812080153834
2348,Trolls 2: World Tour,47195655,0,47195655,2020.csv,2020,0.0,1.0
2349,Switch,47164301,0,47164301,2013.csv,2013,0.0,1.0
2350,High Fidelity,47126295,27287137,19839158,2000.csv,2000,0.5790214783487647,0.4209785216512353
2351,Soul Surfer,47120948,43853424,3267524,2011.csv,2011,0.9306566582658736,0.0693433417341264
2352,The Wedding Date,47096206,31726995,15369211,2005.csv,2005,0.6736635006225342,0.3263364993774658
2353,Land of the Dead,47074133,20700082,26374051,2005.csv,2005,0.4397336855890686,0.5602663144109313
2354,Dracula 2000,47053625,33022767,14030858,2000.csv,2000,0.7018113269700262,0.29818867302997376
2355,The Place Beyond the Pines,47052899,21403519,25649380,2013.csv,2013,0.45488204669387106,0.5451179533061289
2356,Son of Bigfoot,47046281,289308,46756973,2017.csv,2017,0.006149434000957483,0.9938505659990425
2357,StreetDance 2,46960833,0,46960833,2010.csv,2010,0.0,1.0
2358,Parker,46922566,17616641,29305925,2013.csv,2013,0.3754406994706982,0.6245593005293019
2359,Death at a Funeral,46789413,8580428,38208985,2007.csv,2007,0.18338396337650142,0.8166160366234986
2360,Hachi: A Dog's Tale,46748131,0,46748131,2009.csv,2009,0.0,1.0
2361,Mary Queen of Scots,46712809,16468499,30244310,2018.csv,2018,0.35254782044899075,0.6474521795510092
2362,Uncle Drew,46664414,42469946,4194468,2018.csv,2018,0.9101142039413588,0.08988579605864118
2363,Be with You,46616207,0,46616207,2004.csv,2004,0.0,1.0
2364,Three Seconds,46596415,0,46596415,2017.csv,2017,0.0,1.0
2365,My Hero Academia: World Heroes' Mission,46567849,12271658,34296191,2021.csv,2021,0.2635221137227103,0.7364778862772897
2366,Get Rich or Die Tryin',46563961,30985352,15578609,2005.csv,2005,0.6654363446443055,0.3345636553556945
2367,Torque,46546197,21215059,25331138,2003.csv,2003,0.45578501289804624,0.5442149871019538
2368,The Big Wedding,46522137,21819348,24702789,2013.csv,2013,0.4690100112984922,0.5309899887015078
2369,Badges of Fury,46495296,0,46495296,2013.csv,2013,0.0,1.0
2370,Fantastic Mr. Fox,46471023,21002919,25468104,2009.csv,2009,0.45195731972588593,0.5480426802741141
2371,Zweiohrküken,46439905,0,46439905,2009.csv,2009,0.0,1.0
2372,Risen,46432579,36880033,9552546,2016.csv,2016,0.7942706133122608,0.20572938668773924
2373,The Nativity Story,46432264,37629831,8802433,2006.csv,2006,0.8104242127844552,0.18957578721554477
2374,Acrimony,46403669,43549096,2854573,2018.csv,2018,0.9384838944523978,0.061516105547602284
2375,A Werewolf Boy,46282588,342922,45939666,2012.csv,2012,0.007409309090494248,0.9925906909095058
2376,The Thousand Faces of Dunjia,46263237,124187,46139050,2017.csv,2017,0.002684356047113608,0.9973156439528864
2377,The Fog,46201432,29550869,16650563,2005.csv,2005,0.6396093740124765,0.3603906259875235
2378,The Battleship Island,46183383,1104957,45078426,2017.csv,2017,0.023925423566307388,0.9760745764336927
2379,Doraemon: Nobita and the Island of Miracles ~Animal Adventure~,46180706,0,46180706,2012.csv,2012,0.0,1.0
2380,Hanson and the Beast,46154323,0,46154323,2017.csv,2017,0.0,1.0
2381,Eddie the Eagle,46152800,15789389,30363411,2016.csv,2016,0.342111182853478,0.657888817146522
2382,Napoleon Dynamite,46118097,44540956,1577141,2004.csv,2004,0.9658021231882139,0.03419787681178606
2383,Into the Blue,46117696,18801234,27316462,2005.csv,2005,0.4076793862382024,0.5923206137617977
2384,The World's End,46089287,26004851,20084436,2013.csv,2013,0.5642276696534707,0.43577233034652935
2385,The Hunted,46061847,34244097,11817750,2003.csv,2003,0.7434373398009854,0.2565626601990146
2386,Gekijouban Tenpesuto 3D 2012 Re-release,46008255,0,46008255,2012.csv,2012,0.0,1.0
2387,Let's Get Married,45972724,462918,45509806,2015.csv,2015,0.010069405502271303,0.9899305944977287
2388,Asterix: The Secret of the Magic Potion,45972321,1271953,44700368,2018.csv,2018,0.027667800370575157,0.9723321996294249
2389,The French Dispatch,45911225,16124375,29786850,2021.csv,2021,0.3512076839596417,0.6487923160403584
2390,Welcome to the South,45896492,0,45896492,2010.csv,2010,0.0,1.0
2391,Eight Legged Freaks,45867333,17322606,28544727,2002.csv,2002,0.37766760932012333,0.6223323906798767
2392,One Missed Call,45847751,26890041,18957710,2008.csv,2008,0.5865073076321672,0.4134926923678328
2393,Gintama Live Action the Movie,45746967,0,45746967,2017.csv,2017,0.0,1.0
2394,Somewhere Only We Know,45737711,482341,45255370,2015.csv,2015,0.010545805407708313,0.9894541945922917
2395,Chasing the Dragon II: Wild Wild Bunch,45733356,196634,45536722,2019.csv,2019,0.004299575128490461,0.9957004248715096
